module,n_emulators,n_frames,time,effective_fps
vec,32,1800,3.5229139189996204,16350.101457022349
vec,32,1800,3.526438228000188,16333.761227589814
vec,64,1800,3.923136665000129,29364.2587136322
vec,64,1800,3.942328367999835,29221.310161549896
vec,64,1800,3.949052552000466,29171.554058363512
vec,64,1800,3.901804179999999,29524.803061746687
vec,64,1800,3.8444616690003386,29965.183663791096
vec,128,1800,4.09943976500017,56202.80165282303
vec,128,1800,4.145612358000108,55576.83162425434
vec,128,1800,4.1596616119995815,55389.12091679615
vec,128,1800,4.07972705300017,56474.36630118854
vec,128,1800,4.111222765999628,56041.72118948148
vec,256,1800,4.516654087999996,102022.42434820712
vec,256,1800,4.502009081000324,102354.30264783309
vec,256,1800,4.559441741999763,101065.0044621239
vec,256,1800,4.561922371000037,101010.04851140994
vec,256,1800,4.578218590999313,100650.5021201748
vec,512,1800,5.471194144000037,168445.85948584348
vec,512,1800,5.438417095999284,169461.07364180757
vec,512,1800,5.46726491499976,168566.9186198636
vec,512,1800,5.458289535999938,168844.10288637542
vec,512,1800,5.37051173799955,171603.75862864882
vec,1024,1800,6.745067969000047,273266.33452342416
vec,1024,1800,6.972572568999567,264350.0633030291
vec,1024,1800,7.0064943379993565,263070.2190114536
vec,1024,1800,7.029416182999739,262212.38748925965
vec,1024,1800,6.978858974999639,264111.942454045
vec,2048,1800,9.58613069399962,384555.5748898228
vec,2048,1800,9.524600763000308,387039.8446851815
vec,2048,1800,9.499810114000866,388049.86160375626
vec,2048,1800,9.611074697000731,383557.5225682506
vec,2048,1800,9.431119123000826,390876.1995179898
vec,4096,1800,14.392717605999678,512259.0605770387
vec,4096,1800,14.598053330999392,505053.6419361919
vec,4096,1800,14.647440423999797,503350.7416025864
vec,4096,1800,14.509293006000007,508143.2980194925
vec,4096,1800,14.603961908999736,504849.3036301669
vec,8192,1800,25.3592211640007,581468.9617097734
vec,8192,1800,25.46119603900024,579140.1149189298
vec,8192,1800,25.32408059499994,582275.8281266651
vec,8192,1800,25.355185008000262,581561.5226371788
vec,8192,1800,25.1748076089998,585728.408694117
vec,16384,1800,50.51247698899988,583839.9096211875
vec,16384,1800,49.62630716300009,594265.4548752676
vec,16384,1800,50.24312351900062,586969.8763622291
vec,16384,1800,50.61650403799922,582640.0017247365
vec,16384,1800,50.98879635600042,578385.8829318971
vec,32768,1800,101.88465924199954,578913.4540844192
vec,32768,1800,101.49257634599962,581149.8941451871
vec,32768,1800,102.02627842699984,578109.8841334501
vec,32768,1800,102.58697479700004,574950.1836535765
vec,32768,1800,103.7551196860004,568477.0079635738
vec2,1,1800,1.3645324600001911,1319.1331483603897
vec2,1,1800,1.3774008210002648,1306.809152830942
vec2,1,1800,1.3653284089996305,1318.3641299303597
vec2,1,1800,1.3640019180002128,1319.6462382098491
vec2,1,1800,1.3853350039998986,1299.3247083216932
vec2,2,1800,1.6865567710001417,2134.5264279868693
vec2,2,1800,1.6900878520000333,2130.066786611001
vec2,2,1800,1.6897336399997585,2130.5133038604326
vec2,2,1800,1.6881627909997403,2132.495763556107
vec2,2,1800,1.6809208869999566,2141.6831855930723
vec2,4,1800,2.168011617999582,3321.0154134890745
vec2,4,1800,2.12549333700008,3387.4488687704265
vec2,4,1800,2.127774502000648,3383.817219931047
vec2,4,1800,2.141745580999668,3361.743833569332
vec2,4,1800,2.158810902999903,3335.1693703208625
vec2,8,1800,2.611274324000078,5514.548918759854
vec2,8,1800,2.592565337999986,5554.344104248793
vec2,8,1800,2.595108434999929,5548.901080890823
vec2,8,1800,2.586693851999371,5566.951801764093
vec2,8,1800,2.667361443000118,5398.593444390342
vec2,16,1800,3.252305026999238,8855.257966554422
vec2,16,1800,3.2532410129997515,8852.710231094765
vec2,16,1800,3.2517205899994224,8856.849536388092
vec2,16,1800,3.2666345229999934,8816.413283219335
vec2,16,1800,3.2740607120003915,8796.415990222651
vec2,32,1800,3.559198822999861,16183.41735442922
vec2,32,1800,3.583944977000101,16071.675310208975
vec2,32,1800,3.576120102999994,16106.841588368236
vec2,32,1800,3.5645329460003268,16159.199780894582
vec2,32,1800,3.5739997379996566,16116.397376189603
vec2,64,1800,3.987908786000844,28887.320694093632
vec2,64,1800,3.98788102799972,28887.521766862523
vec2,64,1800,3.9906652480003686,28867.36742895789
vec2,64,1800,4.017345450999528,28675.65197096453
vec2,64,1800,3.9953719429995536,28833.360609103333
vec2,128,1800,4.506510035999781,51126.03725709559
vec2,128,1800,4.56761012700008,50442.13354332901
vec2,128,1800,4.528304909000326,50879.966042495
vec2,128,1800,4.508320214000378,51105.50916159495
vec2,128,1800,4.42981598500046,52011.18980565873
vec2,256,1800,5.090742092000255,90517.254984124
vec2,256,1800,5.223811728000328,88211.44864966141
vec2,256,1800,5.164201208000122,89229.67588601151
vec2,256,1800,5.163266227000349,89245.8338852123
vec2,256,1800,5.158134219999738,89334.62766698292
vec2,512,1800,6.435789783000473,143199.20803415903
vec2,512,1800,6.420154608000303,143547.94491266191
vec2,512,1800,6.506176044999847,141650.0250878197
vec2,512,1800,6.563210363000508,140419.0859393194
vec2,512,1800,6.461557681000159,142628.1471896339
vec2,1024,1800,8.169803923000472,225611.2897410957
vec2,1024,1800,8.18339916000059,225236.47740529708
vec2,1024,1800,8.115794935999475,227112.68760920296
vec2,1024,1800,8.190490032000525,225041.48015546743
vec2,1024,1800,8.34760526899936,220805.8407894684
vec2,2048,1800,11.967125234999912,308043.90591806377
vec2,2048,1800,11.967595432999588,308031.8031001514
vec2,2048,1800,12.116232018999654,304253.0049126905
vec2,2048,1800,12.072190249999949,305362.980839373
vec2,2048,1800,12.1068460839997,304488.87963248446
vec2,4096,1800,16.732303406999563,440632.6983597347
vec2,4096,1800,16.42567042599967,448858.3910906815
vec2,4096,1800,16.60184345700054,444095.2608122017
vec2,4096,1800,16.513630945999466,446467.5288014783
vec2,4096,1800,16.521586987000774,446252.5304500674
vec2,8192,1800,29.55279450600028,498957.89032763423
vec2,8192,1800,29.494842355999936,499938.25435722
vec2,8192,1800,29.91022708999936,492995.2539521264
vec2,8192,1800,29.794180891,494915.43512962427
